neuron_hw	nc_exec_running	16886	232437676794
neuron_rt	nrt_execute	8447	120714765287
neuron_rt	kmgr_exec_core	8447	118329758189
neuron_rt	kbl_exec_wait	8446	116150684854
neuron_hw	cc_running	830519	8153646756
neuron_rt	nrt_model_submit	8443	2678710107
neuron_rt	kbl_exec_pre	8443	1399791441
neuron_hw	cc_exec_barrier	8443	627515385
neuron_rt	kbl_exec_post	8447	563532119
neuron_rt	dmem_buf_copyin	144107	511961971
neuron_rt	nrt_dma_mem_dealloc	77312	242638875
neuron_rt	exec_consume_cc_core_notifications	8446	231307103
neuron_rt	nrt_tensor_write	25265	225631536
neuron_rt	nrt_dma_mem_alloc	50658	211245293
neuron_rt	nrt_tensor_read	2099	153492037
neuron_rt	dmem_buf_copyout	2099	152010716
neuron_rt	nrt_tensor_free	838176	87342049
neuron_hw	nc_model_switch	256	12516437
neuron_rt	notification_consume_errors	16892	6601370
neuron_rt	exec_consume_gpsimd_stdio	16886	4301679
